Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0E6,0000,0E7,0100,0E6,0000,7FF,05B2,0000,084,0100,0E6,0000
0E7,0000,0E8,0100,0E7,0000,7FF,05B2,0000,084,0100,0E7,0000
0E8,0000,0E9,0100,0E8,0000,7FF,05B2,0000,084,0100,0E8,0000
0E9,0000,0EA,0100,0E9,0000,7FF,05B2,0000,084,0100,0E9,0000
0EA,0000,0EB,0100,0EA,0000,7FF,05B2,0000,084,0100,0EA,0000
0EB,0000,0EC,0100,0EB,0000,7FF,05B2,0000,084,0100,0EB,0000
0EC,0000,0ED,0100,0EC,0000,7FF,05B2,0000,084,0100,0EC,0000
0ED,0000,0EE,0100,0ED,0000,7FF,05B2,0000,084,0100,0ED,0000
0EE,0000,0EF,0100,0EE,0000,7FF,05B2,0000,084,0100,0EE,0000
0EF,0000,0F0,0100,0EF,0000,7FF,05B2,0000,084,0100,0EF,0000
0F0,0000,0F1,0100,0F0,0000,7FF,05B2,0000,084,0100,0F0,0000
0F1,0000,0F2,0100,0F1,0000,7FF,05B2,0000,084,0100,0F1,0000
0F2,0000,0F3,0100,0F2,0000,7FF,05B2,0000,084,0100,0F2,0000
0F3,0000,0F4,0100,0F3,0000,7FF,05B2,0000,084,0100,0F3,0000
0F4,0000,0F5,0100,0F4,0000,7FF,05B2,0000,084,0100,0F4,0000
0F5,0000,0F6,0100,0F5,0000,7FF,05B2,0000,084,0100,0F5,0000
0F6,0000,0F7,0100,0F6,0000,7FF,05B2,0000,084,0100,0F6,0000
0F7,0000,0F8,0100,0F7,0000,7FF,05B2,0000,084,0100,0F7,0000
0F8,0000,0F9,0100,0F8,0000,7FF,05B2,0000,084,0100,0F8,0000
0F9,0000,0FA,0100,0F9,0000,7FF,05B2,0000,084,0100,0F9,0000
0FA,0000,0FB,0100,0FA,0000,7FF,05B2,0000,084,0100,0FA,0000
0FB,0000,0FC,0100,0FB,0000,7FF,05B2,0000,084,0100,0FB,0000
0FC,0000,0FD,0100,0FC,0000,7FF,05B2,0000,084,0100,0FC,0000
0FD,0000,0FE,0100,0FD,0000,7FF,05B2,0000,084,0100,0FD,0000
0FE,0000,0FF,0100,0FE,0000,7FF,05B2,0000,084,0100,0FE,0000
0FF,0000,100,0100,0FF,0000,7FF,05B2,0000,084,0100,0FF,0000
100,0000,101,0100,100,0000,7FF,05B2,0000,084,0100,100,0000
101,0000,102,0100,101,0000,7FF,05B2,0000,084,0100,101,0000
102,0000,103,0100,102,0000,7FF,05B2,0000,084,0100,102,0000
103,0000,104,0100,103,0000,7FF,05B2,0000,084,0100,103,0000
104,0000,105,0100,104,0000,7FF,05B2,0000,084,0100,104,0000
105,0000,106,0100,105,0000,7FF,05B2,0000,084,0100,105,0000
106,0000,107,0100,106,0000,7FF,05B2,0000,084,0100,106,0000
107,0000,108,0100,107,0000,7FF,05B2,0000,084,0100,107,0000
108,0000,109,0100,108,0000,7FF,05B2,0000,084,0100,108,0000
109,0000,10A,0100,109,0000,7FF,05B2,0000,084,0100,109,0000
10A,0000,10B,0100,10A,0000,7FF,05B2,0000,084,0100,10A,0000
10B,0000,10C,0100,10B,0000,7FF,05B2,0000,084,0100,10B,0000
10C,0000,10D,0100,10C,0000,7FF,05B2,0000,084,0100,10C,0000
10D,0000,10E,0100,10D,0000,7FF,05B2,0000,084,0100,10D,0000
10E,0000,10F,0100,10E,0000,7FF,05B2,0000,084,0100,10E,0000
10F,0000,110,0100,10F,0000,7FF,05B2,0000,084,0100,10F,0000
110,0000,111,0100,110,0000,7FF,05B2,0000,084,0100,110,0000
111,0000,112,0100,111,0000,7FF,05B2,0000,084,0100,111,0000
112,0000,113,0100,112,0000,7FF,05B2,0000,084,0100,112,0000
113,0000,114,0100,113,0000,7FF,05B2,0000,084,0100,113,0000
114,0000,115,0100,114,0000,7FF,05B2,0000,084,0100,114,0000
115,0000,116,0100,115,0000,7FF,05B2,0000,084,0100,115,0000
116,0000,117,0100,116,0000,7FF,05B2,0000,084,0100,116,0000
117,0000,118,0100,117,0000,7FF,05B2,0000,084,0100,117,0000
118,0000,119,0100,118,0000,7FF,05B2,0000,084,0100,118,0000
119,0000,11A,0100,119,0000,7FF,05B2,0000,084,0100,119,0000
11A,0000,11B,0100,11A,0000,7FF,05B2,0000,084,0100,11A,0000
11B,0000,11C,0100,11B,0000,7FF,05B2,0000,084,0100,11B,0000
11C,0000,11D,0100,11C,0000,7FF,05B2,0000,084,0100,11C,0000
11D,0000,11E,0100,11D,0000,7FF,05B2,0000,084,0100,11D,0000
11E,0000,11F,0100,11E,0000,7FF,05B2,0000,084,0100,11E,0000
11F,0000,120,0100,11F,0000,7FF,05B2,0000,084,0100,11F,0000
120,0000,121,0100,120,0000,7FF,05B2,0000,084,0100,120,0000
121,0000,122,0100,121,0000,7FF,05B2,0000,084,0100,121,0000
122,0000,123,0100,122,0000,7FF,05B2,0000,084,0100,122,0000
123,0000,124,0100,123,0000,7FF,05B2,0000,084,0100,123,0000
124,0000,125,0100,124,0000,7FF,05B2,0000,084,0100,124,0000
125,0000,126,0100,125,0000,7FF,05B2,0000,084,0100,125,0000
126,0000,127,0100,126,0000,7FF,05B2,0000,084,0100,126,0000
127,0000,128,0100,127,0000,7FF,05B2,0000,084,0100,127,0000
128,0000,129,0100,128,0000,7FF,05B2,0000,084,0100,128,0000
129,0000,12A,0100,129,0000,7FF,05B2,0000,084,0100,129,0000
12A,0000,12B,0100,12A,0000,7FF,05B2,0000,084,0100,12A,0000
12B,0000,12C,0100,12B,0000,7FF,05B2,0000,084,0100,12B,0000
12C,0000,12D,0100,12C,0000,7FF,05B2,0000,084,0100,12C,0000
12D,0000,12E,0100,12D,0000,7FF,05B2,0000,084,0100,12D,0000
12E,0000,12F,0100,12E,0000,7FF,05B2,0000,084,0100,12E,0000
12F,0000,130,0100,12F,0000,7FF,05B2,0000,084,0100,12F,0000
130,0000,131,0100,130,0000,7FF,05B2,0000,084,0100,130,0000
